sentence,label
Deshalb können die Anreize schlechter weitergeleitet werden.,0
Woher sie stammen.,0
Die Epitheliale des Gebärmutterhalses entwickelt sich nicht weiter.,0
Das Planen und Bauen hat lediglich drei Jahre in Anspruch genommen.,0
"Die Ursachen eines Leistenbruchs sind eine Vielzahl von Faktoren wie zum Beispiel eine zu schnelle oder ungewöhnliche Belastung, eine vorbestehende Gelenkinstabilität, ein Alterungsprozess, eine Erkrankung oder ein Trauma.",0
Außerdem wird am diesem Wochenende ein Verkaufsoffener Sonntag in Apolda angeboten.,0
Dann werden die Bandbreiten überlastet.,0
Zu dem Gesetz müssen aber noch 2 Gruppen Ja sagen.,1
Sie wollen noch mehr über Brustkrebs lesen?,1
Die STIKO hat aber bisher noch nichts dazu gesagt.,1
Die Brücke in Bad Schandau existiert seitdem das Jahr 1975.,0
"Kopie des Geburtseglages, wenn Sie in Deutschland geboren wurden, benötigen Sie eine Kopie des Geburtseglages.",0
Sie sind schwanger?,0
Pass-Foto Das Foto soll aktuell sein.,1
"Woran kann man einen Sprunggelenksbruch erkennen? Dazu gehören unter anderem Schmerzen oder Empfindungsstörungen im Kniebereich, ein schmerzhafter Knick des Beines und eine eingeschränkte Beweglichkeit.",0
"Zum Beispiel: Junge Männer, die 18 Jahre alt sind.",1
Das kurze Wort dafür ist: JAV.,1
Zusammen waren sie die: Abrafaxe.,1
"Damit Sie ein Leben führen können, das anderen Menschen ähnlich ist.",0
"Dazu gehören zum Beispiel: Physikalische Therapiemaßnahmen zur Behandlung von Bewegungsstörungen, Ergotherapie- und Beckenbodentraining, Psychotherapie sowie Medikamente. Mit diesen Maßnahmen soll die Entstehung langfristiger Folgen verhinderet werden.",0
2025 13:31 Uhr 03:09 min Link des Audios Rechte: MITTELDEUTSCHER RUNDFUNK Das sagt der Minister-Präsident von Sachsen dazu Der Minister-Präsident Michael Kretschmer findet den neuen Mindest-Lohn nicht gut.,1
Zum Beispiel: • Den Strom von Windrädern • oder den Strom aus Solar-Anlagen .,1
"Deshalb kann man sich mit den Viren auch dann anstecken, wenn man solche Gegenstände berührt.",1
Dann können das Anzeichen für eine chronische Nasennebenhöhlen-Entzündung sein.,1
Die Kleidung und der Schmuck sind nämlich noch lange heiß.,1
"Dezember 2021, 12:00 Uhr Im Bundes-Land Sachsen-Anhalt ist die Stadt: Halle.",1
"Dementsprechend besuchen Ihre Kinder in den momentanen Schulen, denen sie inkorporiert sind.",0
Die AbkÃ¼rzung dafÃ¼r ist: BMG .,1
Wir können das Erreichen erbringen.,0
Am Samstag gibt es die letzte Kino-Vorstellung in diesem Jahr.,1
Die Viren können mittels der Fäkalien etwa zwei Wochen nach Infektion abgegeben werden.,0
"Geburts-Urkunde Wenn Sie ledig sind, dann bringen Sie bitte Ihre Geburts-Urkunde mit.",1
"Please provide the simple German sentence you'd like me to transform into a more natural and idiomatic written German text. I'll do my best to preserve the original meaning, facts, and length while making it sound more fluent and polished.",0
Alle Menschen in Deutschland können dort Hörer erreichen.,0
Aber im Schul-Fach Rechnen ist das Kind besser.,1
• Und im Bundes-Land Thüringen wurden 58 Prozent von den Menschen 2 Mal ge-impft.,1
