sentence,label
Darin steht: Welche Sachen Deutschland für das Klima machen soll.,1
"Neueste Nachrichten in gehobener Form: Nachrichtenangebote in unserem Online-Angebot informieren Sie über aktuelle Ereignisse und Entwicklungen aus Politik, Wirtschaft, Gesellschaft und Kultur. Rück-Blick-Features ermöglichen einen Überblick über vergangene Ereignisse und Trends. Mit unserem Wörterbuch können Sie fremde Ausdrücke und Begriffe leicht verstehen. Was ist Leichte Sprache?",0
"Aber es ist zu vermelden, dass keinerlei Personen geschädigt wurden.",0
Typisch für Endometriose sind starke Schmerzen im Unterleib: Vor allem vor und während der Regelblutung.,1
Diese dentaltechnische Vorrichtung heißt: Zahnhalte-Apparat.,0
Die Defensivspieler des RB Leipzig zeigten sich als äußerst robust.,0
Deshalb fordern die SPD und CDU: Menschen mit voller Betreuung sollen erst später wählen.,1
In dem Bescheid steht: Ob Sie einen Eltern-Beitrag bezahlen müssen.,1
Auch die Polizei darf dann nicht davon wissen.,1
Es besteht ein Beratungsbüro.,0
"Sie erhalten die Zulassungsbeglaubigung Teil 1, wenn Sie Ihr Kraftfahrzeug bei der Zulassungsbehörde eintragen.",0
Damit Ihr Kind nicht aufwendig zur Schule gelangen muss.,0
2025 14:15 Uhr 02:12 min Link des Audios Rechte: MITTELDEUTSCHER RUNDFUNK Deshalb will die Stadt Leipzig ihren Weihnachts-Markt noch sicherer machen.,1
Es gibt nämlich unterschiedliche L-Thyroxin-Medikamente.,1
([[SYSTEM]]),0
Das medizinische Fachwort für Leistenbruch ist: Hernia inguinalis.,0
Solche häufigen Formen von Arthrose sind zum Beispiel: Arthrose der Hand- und Fingergelenke Arthrose am Hüftgelenk Arthrose am Kniegelenk Was sind die Ursachen einer Arthrose?,1
"Deshalb sollten Sie einige Antibiotikum-Präparate nicht konsumieren, wenn Sie zuvor oder während des Essens eingenommen werden.",0
Das wissen wir nicht.,0
Dazu muss man seine Geheimnummer in einem Gerät eintragen.,0
"Dafür müssen Sie die Verletzung sorgfältig reinigen, desinfizieren, verarbeiten und überwachen.",0
"Es wird überprüft, ob eine Person für den Militärdienst in der Bundeswehr geeignet ist.",0
Viele Musiker aus verschiedenen Ländern kommen zu den Musik-Festspielen.,1
"Die Vorteile eines Verhütungsrings liegen in seiner simplicity, Verfügbarkeit und Zuverlässigkeit.",0
Zu Läusen sagt man auch Parasiten.,0
Sie können die Anwendungen als digitale Notizbücher für Ihre Therapie nutzen.,0
Mai 2019 ist die Europa-Wahl in Deutschland Foto: dpa Hinweis: Dieser Text ist Werbung für die Zeitung taz.,1
Die Kranken·Kassen bezahlen das den Kindern.,1
"Die MDR.DE-Service Barrierefreiheit präsentiert Nachrichten in leichter Sprache: Ein neuer Bereich Mitteldeutschland. Die Polizei hat 5 Verdächtige bei einer Drogen-Razzia festgenommen, Hauptinhalt 08.",0
Unser Kultur-Newsletter informiert unsere Abonnenten über laufende und zukünftige Veranstaltungen.,0
Dafür bekommt die Stadt Oberwiesenthal mehr als 10 Millionen Euro.,1
In den Vertragsgestaltungen finden sich zum Beispiel Klauseln zur Vergütung.,0
Wenn Sie Mitglied in einem Verein sind.,1
Auch wenn das Kunden-Zentrum betrieblich tätig ist.,0
Sie möchten Thymian als Heilpflanze anwenden?,1
"August 2025, 16:37 Uhr In der Stadt Dresden gibt es eine große Baustelle.",1
"Wir prüfen dann, ob Sie die gesundheitlichen Voraussetzungen erfüllen: Sie müssen gesund sein.",1
Bürgergeld ist öffentliche Transferleistung des Staates.,0
Viele Menschen in der ehemaligen DDR wollten etwas verändern .,1
Die Liste finden Sie unter der Überschrift: Welche Papiere brauche ich dafür?,1
Es existieren auch Programme während pädagogischer Freizeiten.,0
Das bedeutet: Das Immunsystem wirkt gegen den eigenen Organismus.,0
Ich erscheine betrunkenerweise in luxuriöser Sportkleidung.,0
In vielen sozialen Netzwerken gibt es Migräne-Gruppen.,1
Achtung: Es besteht eine Genehmigung für private Kraftfahrzeuge.,0
"Die Ziele von Riesa will es, dass die InterCity-Züge auch künftig halten.",0
Das Zielgebiet lag in unmittelbarer Nähe zur Gemeinde Großpösna.,0
Der Vermieter oder die Vermieterin hat die Vertragserklärung auszufüllen.,0
"Und sie können zum Arzt oder zur Ärztin gehen, wenn sie krank sind.",1
Die Person verkehrt fortan nicht mehr unter den Augen ihrer Freunde.,0
Drucken Sie bitte nach dem Ausfüllen die Erklärung aus.,1
"Dann ist eine Impfung gegen den Krankheitserreger notwendig, um eine Ansteckung dieses Menschen zu vermeiden.",0
"Es entsteht zum Beispiel beim Heizen und Auto-Fahren, wenn Benzin, Öl oder Gas verbrannt wird.",1
Manchmal kann der Konsum von Alkohol die Wirksamkeit von Arzneimitteln beeinträchtigen.,0
