sentence,label
Die meisten Stimmen entfiel Philipp Preißler.,0
Heute muss sich die Firma um eine erhebliche Anzahl von Mitarbeitern sorgen.,0
"Wichtig: Sie müssen auch bezahlen, wenn wir Ihren Antrag auf Meldungsauskunft abweisen.",0
"Normales Schriftdeutsch: Schwarzer Hautkrebs ist eine Form des Melanoms, einer Krebserkrankung, die in der Haut auftritt.",0
Sie erhalten eine Verwarnung.,0
Manchmal löst sich der Kontrazeptivpille-Hügel spontan aus der Vagina.,0
Das bedeutet: Kein Mensch darf dort hin-gehen.,1
Mit der Vorstellung meiner Erklärungspflicht bei der Behörde habe ich den notwendigen Schritt für eine mögliche Überprüfung meines Gesundheitssatus absolviert.,0
"Eine Muskelverletzung ist ein Schaden an den glatten oder striegelen Muskeln, der durch einen plötzlichen oder kontinuierlichen Druck auf die betroffene Muskulatur hervorgerufen wird.",0
Der Arzt stellt fest: Sie haben Scheidenpilz?,1
"In der Norm des Unionsrechts besteht ein allgemeiner Grundsatz dahin, dass Menschen mit Behinderung dieselben Rechte wie Menschen ohne Behinderung genießen sollten.",0
Messen Sie dann Ihre Körpertemperatur.,1
"Arbeitslose Menschen können sich schweren Herzens gefühlt sehen: Das Gefühl, die Gesellschaft benötige sie nicht, kann ihnen auferlegt sein.",0
Durch das Wasser kann die Abschwächung von Gallertkerneinwirkungen erreicht werden.,0
Dann werden nicht mehr so viel ICE -Züge in der Stadt Riesa anhalten.,1
ASS senkt nämlich das Fieber und es lindert die Entzündung im Körper.,1
Betroffene Personen konsumieren die Arzneimittel.,0
"Wenn Sie einen WBS haben, dürfen Sie eine solche Wohnung mieten.",1
Sie müssen mindestens Volljähriger sein.,0
Stroke ist das englische Wort für apoplektischen Herz-Kreislauf-Verschluss.,0
Sie haben ein Recht auf Eltern-Geld: Wenn Sie in Deutschland wohnen .,1
Dann wirkt die kontraceptive Maßnahme nicht mehr zuverlässig.,0
Der Hintergrund ist einfarbig.,0
Woran können Sie eine Kurzsichtigkeit erkennen?,1
• Und von der Universität Leipzig.,1
"Das bedeutet: Die Firma hat die Verpflichtung, sich um ihre Kunden zu kümmern.",0
Verlaufsmodifizierende Therapie Im Rahmen dieser Behandlung wird dem Patienten eine medizinische Unterstützung zuteil.,0
Das bedeutet: Die Fach-Leute im Labor haben die falschen Blut-Proben bekommen.,1
Atem-Physiotherapie: Bei der Atem-Physiotherapie lernen betroffene Personen verschiedene Atem-Techniken.,1
Vor allem ältere Personen neigen leichter zu Verletzungen am Hüftgelenk.,0
Die Krankenhäuser werden in Kürze ihre Kapazitätsgrenzen erreichen.,0
Und daher wird die Nachfrage nach Frachtflugzeugen reduziert.,0
Damit kein Rauch in ihre Häuser eindringt.,0
Viele Menschen mögen seine Musik.,1
Die Männer betreiben seit 2017 einen virtuellen Handel im Deep Web.,0
Diese Krankheiten sind gefährlich.,0
Hier können Sie diese Nachricht auch in anspruchsvollerer Sprache lesen. Zwischen Mai 2020 und April 2021 hat sich in den sächsischen Wäldern ein beachtliches Geburtserfolg von mindestens 87 Wolfswelpen ereignet.,0
Und einige Individuen haben ihre Fahrzeuge bei hohem Tempo um die Straßen gefahren.,0
Diese Menschen heißen Pendler .,1
Dort fand am Montag eine spezielle Initiative statt.,0
"Es ist vorteilhaft, dass es die Impfungen gegen das Coronavirus gibt.",0
Einige diese Mikroorganismen produzieren Säuren und Toxine.,0
"Der Patient wird medikamentös zu einer prophylaktischen Blutverdünnung gebracht, um eine Thrombose zu verhindern.",0
Das ist ein Asthma -Medikament.,1
Und einige Medikamente helfen auf andere Weise gegen die Beschwerden .,1
Sie erhalten von uns eine Bestätigung.,0
Das bedeutet: Auf der Brücke sollen viele Pflanzen wachsen.,1
Die Augen und die Lunge werden gereizt durch das Anwesen von Reizgas.,0
"Die Hauptursachen einer Lungenembolie sind eine Beurteilung von Gerinnsen in den Venen, die in das Lungengewebe eingedrungen sind.",0
Fremdkörper im Auge sind zum Beispiel: kleine Insekten Staubkörner Wimpern Sie haben einen kleinen Fremdkörper im Auge?,1
Dieser Artikel wurde bereits 15317 mal angesehen.,1
"Wenn Sie zurzeit im Ausland wohnen, dann ist das Standesamt für Sie zuständig, an dem Sie vorher in Deutschland registriert waren.",0
Dann können mehr junge Menschen einen Beruf lernen.,1
Alkoholische Fettleber Eine Ursache für eine Fettleber ist Alkohol.,1
In Sachsen-Anhalt ist das anders.,1
In der Bildergalerie sehen Sie: So viel Gramm Alkohol sind in einem Getränk.,1
Bei leichtgradigen Beschwerden kann es in einigen Fällen keine medizinische Intervention erfordern.,0
"Und Beglaubigungen von Unterschriften kosten 1,70 Euro .",1
Dann sollten Sie ihr Gewicht verringern.,1
Sie können Traubensilberkerze mehrere Monate lang einnehmen.,1
Manche Menschen treffen sich immer noch und feiern Partys.,1
Die Polizei hat die 2 Frauen dann fest-genommen.,1
Für viele Unternehmen ist es schwierig Fach-Kräfte zu finden.,1
Das war im Land-Kreis : Saale-Holzland-Kreis.,1
Heilpflanzen besitzen heilkundige Eigenschaften.,0
"Deshalb setzten wir seit 2013 systematisch Maßnahmen ein, die Führungskräfte und Mitarbeitende im Transformationsprozess betreuen.",0
Bluthochdruck schadet auch den Blutgefäßen.,1
Auch im Bundes-Land Sachsen-Anhalt ist das so.,1
(…) Ich kann meinen Freunden Sachen schenken.,1
Dann kann das ein Anzeichen für eine Darminfektion sein.,1
• Wie lange sie das schon gemacht hat.,1
"Diese Regulation ist insbesondere bei der Erwachung von Bedeutung, da dann die Blutzufuhr gegen die Schwerkraft in Richtung des Kopfs erfolgt.",0
Ein Physiotherapeut kann Ihnen vielleicht Übungen zeigen.,1
Ehrenamtlich heißt: Die Helfer und Helferinnen bekommen für ihre Arbeit kein Geld.,1
"Und wenn ein Omnibus von hinten herkommt, dann muss man ihn auch passieren lassen.",0
"Was ist, wenn mein Partner oder meine Partnerin nicht beim Vorsprechen dabei sein kann?",1
"Er hat sich verpflichtet, Deutschlands Schutz zu garantieren.",0
Er hat gesagt: Immer mehr Corona-Patienten müssen in den Krankenhäusern behandelt werden.,1
Das heißt: Sie können es am Computer vorbereiten.,1
Was sind die Ursachen von Weitsichtigkeit?,1
Für einige Hunde ist eine Prüfung erforderlich.,0
Wir haben alle relevanten Dokumente in einer Aufstellung zusammengefasst.,0
Die Erkrankung kommt in die zweite oder dritte Phase?,1
In einem medizinischen Einrichtungskomplex.,0
Das Benachteiligungsverbot erstreckt sich auch auf Institutionen wie das Verwaltungsamt oder das Sozialeinrichtung.,0
Ein Mensch hatte als Kind keine Windpocken?,1
Hämorrhoiden sind keine Krankheit im eigentlichen Sinne.,0
Was sind die Ursachen einer Thrombose?,0
Dahinter stehen weitere Buchstaben und Zahlen.,1
"Erzieherinnen, die mit Kindern mit Behinderung arbeiten.",1
"Die Empfängnisverhütungsmittel sollten nach einer menstruationsbedingten Blutung nicht mehr eingenommen werden, wenn auftretende Symptome wie Kopfschmerzen, Schwindel, Übelkeit, Spannung in der Brust oder Schmerzen bei der Regelblutung bestehen.",0
Am Sonntag fand im Bundesland ein Impfaktionstag für Kinder statt.,0
Vielleicht wird bei einer medizinischen Untersuchung eine Anämie diagnostiziert.,0
Forscher kennen die Ursachen einer gutartigen Prostata-Vergrößerung nicht genau.,1
"Januar 2022, 14:15 Uhr Es gibt eine neue Mutation vom Corona-Virus .",1
Ab dem 13. wird die neue Schulstunde für alle Schüler verpflichtend.,0
Viel Flüssigkeit ist besonders wichtig.,1
Das wissen wir nicht.,0
"Wie kann man eine Sehnenscheidenentzündung vermeiden? Man sollte sich bemühen, eine gesunde Lebensführung zu führen und stärkende Übungen für die betroffenen Muskeln durchführen.",0
MDR.DE Service Barrierefreiheit Nachrichten in leichter Sprache Neuer Bereich KULTUR-TIPPS Tipps für das Wochenende Hauptinhalt 07.,1
Diese Menschen konnten dann manchmal keine gute Behandlung bekommen.,1
Die betroffene Person macht vielleicht pfeifende oder brummende Geräusche beim Atmen.,1
Die Eingliederungs-Hilfe soll dabei helfen: Dass Menschen mit Behinderung überall mit-machen können.,1
Tor hat der Fußball-Spieler Xaver Schlager geschossen.,1
Hartkapseln beinhalten zumindestmäßig ein Pulver-Granulat.,0
Es entwickelt sich dabei durch bakterielle Fermentation.,0
Und sie müssen nicht selten ins Krankenhaus.,0
"Dann sollten Sie ihre Daten zuvor sorgfältig überprüfen, um sicherzustellen, dass die erforderlichen Schutzmaßnahmen getroffen werden.",0
Deshalb sollten Sie vorsichtig mit dem Medikament sein.,1
Den WBS müssen Sie bei uns beantragen .,1
"Wir melden uns bei Ihnen, wenn wir Ihre Papiere bekommen haben.",1
Dann ist der richtige Sonnenschutz sehr wichtig.,1
"Vereine aus den deutschen Bundesländern Sachsen, Sachsen-Anhalt und Thüringen haben gemeinsam gespielt.",0
