sentence,label
"Das Ergebnis: Eine ultraeffektive Vorbeugemaßnahme gegen Hautalterung, Unreinheiten und Trockenheit, die Koreanerinnen den Ruf verschafft hat, ein Gesicht zu besitzen, das als eines der schönsten Hautbilder der Welt bekannt ist – auch bekannt als Porzellanhaut.",0
Damit sie alle Menschen gut beraten und unterstützen können.,0
"MDR.DE bietet einen Service zum Thema Barrierefreiheit, der Nachrichten in leichter Sprache bereitstellt. Im neuen Bereich in Sachsen wird bald die Schließung von Impf-Zentren vorgesehen. Hauptinhalt Stand: 09.",0
"(Note: I've kept the same length and structure as the original sentence, while using more formal and idiomatic language.)",0
"Oder den Kinderausweis, wenn Sie ihn besitzen.",0
"Wir engagieren uns zunehmend in den Bereichen Computer, Maschinen, Internet und Mobilgeräte, was als digitale Transformation bezeichnet wird.",0
Und wie Sie sich gegen diese Entwicklung einsetzen können.,0
Die Saison eröffnet alljährlich am Nikolaustag und erstreckt sich bis Ende Jänner.,0
"Anna ist nicht mitgekommen, da man möglicherweise ein Missbrauch an Kindern entdeckt hat.",0
Wenn die Äste von den Bäumen fallen: Dann können sie die Menschen verletzen.,1
Am Anfang sind die Gespräche einfach.,1
Dadurch wird das Gewebe geschädigt.,0
Beim starkeren Bluthochdruck kann der Arzt eine erhebliche Menge Amlodipin verordnen.,0
Viele Menschen finden die Kunst-Werke interessant.,1
Das ist auch bei Fußball-Spielen so.,1
Wegen der Bundes-Straße fahren jeden Tag sehr viele Autos durch dieses Dorf.,1
Aber sie lassen sich nicht mit Shampoo entfernen.,1
Unser Tee besitzt auf seiner Verpackung eine Kennzeichnung.,0
• Und wegen fahrlässiger Tötung .,1
"Ein Beipackzettel ist ein Begleitpapier, das in Verbindung mit Arzneimitteln oder Medikamenten ausgestellt wird.",0
Dann treten oft Beschwerden auf.,1
Oder Sie verstehen etwas nicht?,1
Dann habe ich eine Stelle besetzt.,0
Stecken Sie sich nicht zu lange im kalten Wind aus; tragen Sie sich eine thermisch gehaltene Kanne mit Tee bei.,0
Dann können Medikamente helfen.,1
Sie haben der Polizei gesagt: Die mut-maßlichen Täter sind sehr schnell mit einem Auto weg-gefahren.,1
"Januar 2022, 14:18 Uhr Dresden ist eine Stadt im Freistaat Sachsen.",0
Eine Infektion einer Grippe wird durch Viren ausgelöst.,0
Er ist Sozial-Arbeiter und schreibt Kinderbücher.,1
