sentence,label
Wichtiger Hinweis: Sie müssen uns die ursprünglichen Ausfertigungen der Urkunde und ihrer Übersetzung aushändigen.,0
"Viele Menschen in Mitteldeutschland sind der Ansicht, dass die Regierungsparteien ihre Zusammenarbeit nicht effektiv gestalten.",0
Sie müssen eine Verlust-Erklärung schreiben.,1
Manchmal kommt der Schmerz sogar ganz ohne Belastung vor.,1
"Hier kann man diese Nachricht auch in anspruchsvollerer Sprache lesen. Im thüringischen Raum sind an einem Montagabend etwa 15.000 Menschen auf die Straße gezogen, um ihre Unzufriedenheit mit der Corona-Politik zu artikulieren.",0
Das Wohlbewusstsein einer gesunden Darstellung von Gesundheit setzt sich auch in der Körperlichkeit fort. Ein gesunder Stuhl gilt als wichtiger Aspekt für eine umfassende Gesundheitsvorsorge.,0
Ermäßigung von der Hunde-Steuer Wenn Sie laufende Hilfe zum Lebensunterhalt bekommen: Dann können Sie eine Ermäßigung beantragen.,1
"Jede Freiheitsentziehung ist so durchzuführen, dass sie den Betroffenen eine möglichst reibungslose Wiedereingliederung in die Gesellschaft ermöglicht.",0
Dann könnte sich eventuell auch die Konjunktivitis entwickeln.,0
Diese Menschen dürfen Amlodipin nicht nehmen.,1
Oft ist die Schilddrüse dann auch größer.,1
Der Mann hat die Bestimmungen des Waffengesetzes ignoriert.,0
"Wenn es keinen schriftlichen Arbeitsvertrag gibt, ist binnen einem Monat nach Arbeitsbeginn eine Erklärung beider Seiten erforderlich.",0
Und es sind Opfer gefallen.,0
Erwachsene übernehmen die Betreuung eines Minderjährigen.,0
Sie haben eine ausgeprägte Phobie in bestimmten Kontexten.,0
"September 2021, 13:24 Uhr Im Stadtgebiet von Dresden befindet sich das Oberlandesgericht.",0
"In der Abstinenzphase erlangt der Patient die Erkenntnis, wie ein gesunder Lebensstil ohne Alkoholkonsum aussehen kann.",0
Fremdkörper im Auge sind zum Beispiel: kleine Insekten Staubkörner Wimpern Sie haben einen kleinen Fremdkörper im Auge?,1
Das Gelenk kann sogar im Ruhezustand weh tun.,1
"Um eine Urkunde von Ihrer Lebens-Partnerschaft zu bekommen, können Sie diese Dinge tun: Sie kommen direkt zu uns ins Standes-Amt und fragen danach.",1
Zum Beispiel: • Es gibt einen Grill-Stand mit Essen.,1
"Deshalb behaupten einige Politiker, dass möglicherweise eine Rückkehr zur traditionellen Schulorganisation erforderlich sein könnte.",0
"November 2021, 12:32 Uhr Der Ortsteil Himmelsberg ist ein Teil von Sondershausens Stadtbereich.",0
Und Ihre Brust musste nicht entfernt werden?,1
Das war in der Stadt von Salzwedel.,0
Und die Wartezeiten überschreiten die Öffnungszeiten.,0
Für einige Hunde ist eine Prüfung erforderlich.,0
Viele Länder sind dort Mitglieder.,0
"Am Anfang hatte Franziska Meißner spekuliert, ob das Schwimm-Projekt problematisch sein könnte.",0
Dieses Gel finden Sie in vielen Kosmetik-Produkten.,1
Das waren die Spiele der 64.,0
Wie melde ich einen Neben-Wohnsitz an?,1
"19.4 Es sind angemessene Vorkehrungen zu treffen, dass alle Häftlinge in regelmäßigen Abständen, mindestens jedoch zweimal wöchentlich, im Sinne der allgemeinen Hygiene die Gelegenheit erhalten, sich zu waschen oder duschen.",0
"Die Menschen müssen diese Regeln beachten: die Abständsregel, die Maskenpflicht und den Gruppengrößenbeschränkungen bei Versammlungen entsprechen.",0
Bluthochdruck schadet auch den Blutgefäßen.,1
Beim Durchsuchungsverfahren unterstützten Beamte des Zolls.,0
In Deutschland finden sich zahlreiche industrielle Betriebe.,0
"Sie rufen uns an und sagen, dass Sie eine Ehe-Urkunde haben wollen.",1
Ich genieße das Land nach wie vor.,0
Reisende saßen zum Teil mehrere Stunden fest.,1
"August 2025, 15:52 Uhr Das Haus der Langen Lene ist ein bedeutendes Wohngenument in Leipzig.",0
Sie können Ihren Wunsch auch per Postsendung einreichen.,0
